Index	xSource	ySource	xTarget	yTarget
    0	    189	     70	    188	     67
    1	     88	    388	     88	    388
    2	    116	    266	    116	    266
    3	    120	    228	    120	    228
    4	    136	    126	    136	    126
    5	    251	    129	    259	    119
    6	    285	    102	    294	     91
    7	    284	    119	    294	    109
    8	    271	    136	    282	    124
    9	    201	    486	    204	    470
   10	    195	    493	    199	    475
   11	    121	    455	    120	    448
   12	    326	    210	    333	    202
   13	    263	    245	    262	    232
   14	    266	    283	    267	    270
   15	    256	    298	    256	    285
   16	    229	    312	    229	    300
   17	    318	    299	    320	    290
   18	    342	    265	    343	    262
   19	    270	    228	    275	    216
   20	    318	    167	    328	    157
   21	    290	    219	    295	    208
   22	    101	    458	    100	    454
   23	    134	    402	    137	    395
   24	    127	    431	    129	    422
   25	    109	    502	    110	    497
   26	     59	    511	     58	    508
   27	    101	    387	    101	    387
   28	    211	    507	    212	    490
   29	    231	    461	    233	    446
   30	    291	    392	    294	    382
   31	    326	    366	    326	    364
   32	    237	    391	    238	    378
   33	    225	    374	    225	    360
   34	    229	    355	    228	    342
   35	    266	    355	    266	    342
   36	    153	    455	    156	    441
   37	    170	    431	    173	    418
   38	    163	    422	    167	    408
   39	    132	    497	    131	    489
   40	    168	    500	    171	    485
   41	    177	    507	    180	    492
   42	    210	    468	    214	    452
   43	    202	    444	    205	    429
   44	    297	    430	    297	    416
   45	    238	    415	    241	    400
   46	    205	    388	    206	    375
   47	    219	    351	    219	    337
   48	    270	    315	    271	    302
   49	    284	    348	    285	    336
   50	    291	    341	    292	    329
   51	    286	    320	    286	    307
   52	    328	    309	    330	    308
   53	    209	    290	    209	    275
   54	    211	    272	    212	    259
   55	    242	    260	    242	    247
   56	    248	    258	    250	    245
   57	    204	    297	    204	    284
   58	    204	    305	    203	    291
   59	    216	    305	    216	    292
   60	    202	    315	    202	    302
   61	    282	    260	    286	    248
   62	    301	    258	    303	    248
   63	    339	    230	    342	    225
   64	    333	    239	    337	    233
   65	    323	    242	    327	    234
   66	    301	    279	    302	    269
   67	    310	    224	    314	    214
   68	    163	    347	    163	    336
   69	    165	    368	    166	    356
   70	    143	    382	    143	    376
   71	    145	    367	    145	    359
   72	    176	    288	    176	    276
   73	    166	    252	    162	    244
   74	    170	    263	    169	    254
   75	    158	    282	    158	    282
   76	    221	    207	    223	    194
   77	    242	    225	    244	    211
   78	    245	    201	    249	    188
   79	    211	    220	    214	    205
   80	    203	    196	    205	    185
   81	    271	    193	    277	    181
   82	    264	    211	    270	    198
   83	    273	     83	    279	     75
   84	    295	    126	    307	    116
   85	    280	    145	    290	    134
   86	    242	    155	    248	    143
   87	    195	    161	    195	    152
   88	    205	    234	    206	    221
   89	    195	    249	    195	    235
   90	    185	    185	    184	    175
   91	    175	    222	    175	    216
   92	    150	    180	    150	    180
   93	    248	     85	    253	     81
   94	    188	    148	    186	    142
   95	    174	    165	    174	    159
   96	    180	    169	    179	    162
   97	    309	    147	    320	    139
   98	    249	    145	    256	    135
   99	    252	    164	    259	    150
  100	    240	    162	    245	    149
  101	    239	    172	    244	    159
  102	    250	    173	    257	    160
  103	    288	     93	    298	     83
  104	    294	     85	    301	     75
  105	    295	    147	    304	    137
  106	    307	    134	    318	    124
  107	    263	     38	    263	     38
  108	    205	    112	    204	    105
  109	    270	    166	    278	    155
  110	    229	    139	    233	    129
  111	    231	    135	    234	    124
  112	    221	    123	    223	    115
  113	    254	     93	    258	     86
  114	    230	     96	    231	     90
  115	    215	    108	    215	    102
  116	    157	    149	    155	    148
  117	    150	    159	    150	    159
  118	    144	    210	    144	    210
  119	    432	     39	    432	     39
  120	     41	    178	     41	    178
  121	     40	    274	     40	    274
  122	    336	    373	    336	    373
  123	    366	    277	    366	    277
  124	    352	    276	    352	    276
  125	    343	    327	    343	    327
  126	    415	    504	    415	    504
  127	    374	    490	    374	    490
  128	    386	    504	    386	    504
  129	    335	    493	    335	    493
  130	    327	    507	    327	    507
  131	    347	    482	    347	    482
  132	    366	    470	    366	    470
